# Time-averaged data for fix Ave
# TimeStep v_HAg v_HTe
7980 0.018961 -4.60113
7990 0.0190026 -4.60002
8000 0.0194063 -4.59654
8010 0.0198935 -4.5924
8020 0.0202439 -4.59039
8030 0.0203558 -4.59097
8040 0.0202046 -4.59331
8050 0.0197422 -4.59611
8060 0.0188919 -4.59809
8070 0.0176353 -4.59874
8080 0.0160991 -4.5986
8090 0.0145765 -4.59764
8100 0.0134195 -4.59579
8110 0.0128665 -4.59249
8120 0.0130035 -4.58754
8130 0.0136932 -4.58133
8140 0.0146237 -4.57556
8150 0.015405 -4.57286
8160 0.015716 -4.57542
8170 0.0154895 -4.58251
8180 0.0149485 -4.59095
8190 0.0144873 -4.59643
8200 0.0144937 -4.59606
8210 0.0151284 -4.59086
8220 0.0161629 -4.58427
8230 0.0170267 -4.58014
8240 0.0172392 -4.58031
8250 0.0168259 -4.58357
8260 0.016177 -4.58756
8270 0.0156022 -4.59047
8280 0.0152566 -4.5927
8290 0.0152296 -4.59454
8300 0.0155028 -4.596
8310 0.015958 -4.59686
8320 0.0165064 -4.59632
8330 0.0171381 -4.5937
8340 0.0178095 -4.58956
8350 0.0184074 -4.58561
8360 0.0188268 -4.58403
8370 0.0190359 -4.5858
8380 0.0190884 -4.59025
8390 0.0191279 -4.59526
8400 0.0193391 -4.59829
8410 0.0197509 -4.59806
8420 0.0201549 -4.59518
8430 0.0203525 -4.59144
8440 0.0203504 -4.58856
8450 0.0203108 -4.58682
8460 0.0203821 -4.58696
8470 0.0206509 -4.58897
8480 0.0211739 -4.59246
8490 0.0219188 -4.59571
8500 0.0226974 -4.59666
8510 0.0232161 -4.59443
8520 0.0231286 -4.58953
8530 0.0221474 -4.58435
8540 0.0202132 -4.58092
8550 0.0175133 -4.58051
8560 0.0144547 -4.58309
8570 0.0115221 -4.58765
8580 0.00908495 -4.59238
8590 0.00732481 -4.59578
8600 0.00634033 -4.59642
8610 0.00620066 -4.59452
8620 0.0068632 -4.59192
8630 0.00813686 -4.59015
8640 0.00975552 -4.59115
8650 0.0114556 -4.59444
8660 0.0131261 -4.59795
8670 0.0147571 -4.59896
8680 0.0162587 -4.59646
8690 0.0174618 -4.59165
8700 0.0182595 -4.58701
8710 0.018714 -4.58493
8720 0.0190216 -4.58585
8730 0.019366 -4.58815
8740 0.0196767 -4.58992
8750 0.0196419 -4.59049
8760 0.0189776 -4.59012
8770 0.0176482 -4.59017
8780 0.015831 -4.59126
8790 0.0138557 -4.59337
8800 0.0121666 -4.59489
8810 0.0112589 -4.59469
8820 0.0114008 -4.59237
8830 0.0124518 -4.5894
8840 0.013838 -4.58832
8850 0.0148892 -4.59082
8860 0.0153313 -4.59654
8870 0.0154942 -4.60249
8880 0.0159377 -4.60453
8890 0.0169562 -4.6017
8900 0.0183467 -4.59559
8910 0.0195049 -4.59037
8920 0.0198687 -4.58951
8930 0.019311 -4.59301
8940 0.0182094 -4.59822
8950 0.0170818 -4.60167
8960 0.0162027 -4.60119
8970 0.0154945 -4.5981
8980 0.0147481 -4.59511
8990 0.0140017 -4.59502
9000 0.0136242 -4.59829
9010 0.0140629 -4.60341
9020 0.0155226 -4.60757
9030 0.017741 -4.60839
9040 0.0200537 -4.60542
9050 0.0216949 -4.59988
9060 0.0221774 -4.59459
9070 0.0215212 -4.59214
9080 0.0202079 -4.59334
9090 0.0189639 -4.59638
9100 0.0184379 -4.59879
9110 0.0189258 -4.59868
9120 0.0201938 -4.59672
9130 0.02163 -4.59478
9140 0.0226635 -4.5946
9150 0.02306 -4.59667
9160 0.0228273 -4.59988
9170 0.0220615 -4.60275
9180 0.0209108 -4.60442
9190 0.0196478 -4.60467
9200 0.0186179 -4.604
9210 0.0180729 -4.60349
9220 0.0180445 -4.60396
9230 0.0184008 -4.60578
9240 0.0190142 -4.60824
9250 0.0198598 -4.61007
9260 0.0209266 -4.61024
9270 0.022098 -4.60884
9280 0.0231922 -4.60601
9290 0.0240383 -4.60214
9300 0.0244649 -4.5979
